Tag,Timestamp,Valor,Estado
"02GMOMZL LT-73710 IGU          MW ","2025-06-08 11:00:00",25.71,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-08 12:00:00",26.42,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-08 13:00:00",27.75,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-08 14:00:00",28.01,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-08 15:00:00",28.94,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-08 16:00:00",29.33,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-08 17:00:00",29.15,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-08 18:00:00",29.41,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-08 19:00:00",28.98,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-08 20:00:00",32.07,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-08 21:00:00",32.86,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-08 22:00:00",32.94,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-08 23:00:00",32.3,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-09 00:00:00",30.3,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-09 01:00:00",29.35,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-09 02:00:00",27.6,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-09 03:00:00",26.54,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-09 04:00:00",25.28,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-09 05:00:00",24.64,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-09 06:00:00",23.91,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-09 07:00:00",24.13,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-09 08:00:00",24.66,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-09 09:00:00",25.97,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-09 10:00:00",27.14,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-09 11:00:00",27.29,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-09 12:00:00",27.29,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-09 13:00:00",29.62,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-09 14:00:00",30.96,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-09 15:00:00",31.67,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-09 16:00:00",31.87,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-09 17:00:00",32.17,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-09 18:00:00",31.4,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-09 19:00:00",31.17,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-09 20:00:00",34.51,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-09 21:00:00",35.41,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-09 22:00:00",35.25,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-09 23:00:00",34.2,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-10 00:00:00",32.2,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-10 01:00:00",31.25,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-10 02:00:00",29.7,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-10 03:00:00",28.42,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-10 04:00:00",27.39,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-10 05:00:00",26.81,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-10 06:00:00",25.72,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-10 07:00:00",25.51,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-10 08:00:00",26.62,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-10 09:00:00",27.92,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-10 10:00:00",29.09,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-10 11:00:00",29.05,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-10 12:00:00",29.37,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-10 13:00:00",30.76,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-10 14:00:00",31.29,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-10 15:00:00",32.17,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-10 16:00:00",32.45,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-10 17:00:00",32.14,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-10 18:00:00",30.89,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-10 19:00:00",31.92,Normal
